"","totals","taxonomy"
"UNI3254",5068,"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Alkanindiges;uncultured bacterium"
"UNI3963",5053,"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;uncultured;uncultured alpha proteobacterium"
"UNI523",5035,"Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;uncultured;uncultured bacterium"
"UNI1571",4993,"Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Family III;Thermoanaerobacterium;Thermoanaerobacterium bryantii"
"UNI3318",4910,"Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Aquabacterium;Aquabacterium citratiphilum"
"UNI3609",4791,"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;uncultured;uncultured bacterium"
"UNI4960",4770,"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas sp. MOIL14HWK12:I2"
"UNI3537",4711,"Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Atopostipes;Atopostipes suicloacalis"
"UNI3436",4703,"Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Chryseobacterium;Chryseobacterium kwangjuense"
"UNI1814",4692,"Bacteria;Firmicutes;Clostridia;Clostridiales;Family XI;Finegoldia;Finegoldia magna ATCC 53516"
"UNI4685",4663,"Bacteria;Firmicutes;Clostridia;Clostridiales;Family XI;Anaerococcus;uncultured bacterium"
"UNI84",4641,"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pogona vitticeps (central bearded dragon)"
"UNI3345",4599,"Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;uncultured;uncultured bacterium"
"UNI5697",4586,"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas sp. MOIL14HWK12:I2"
"UNI4042",4578,"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Aestuariivita;Aestuariivita boseongensis"
"UNI3574",4558,"Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter;Aggregatibacter segnis ATCC 33393"
"UNI39",4553,"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pogona vitticeps (central bearded dragon)"
"UNI1373",4492,"Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax;uncultured Acidovorax sp."
"UNI3133",4483,"Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Propionibacterium;uncultured bacterium"
"UNI3593",4478,"Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Planctomyces;uncultured planctomycete"
"UNI94",4365,"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pogona vitticeps (central bearded dragon)"
"UNI1680",4320,"Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;uncultured bacterium"
"UNI4589",4316,"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Kosakonia;uncultured Enterobacter sp."
"UNI1879",4271,"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus;Solanum torvum"
